section,note
Positioning,"Kamal is a Commercial Marketing Belief Reframer, not a performance marketing consultant."
Positioning,"We think our differentiation is that we connect marketing decisions directly to commercial outcomes, not vanity metrics."
Cohort,"Marketing managers blamed for weak sales conversion are our primary audience."
Cohort,"These managers report to a CEO who does not trust marketing data anymore."
Belief,"Wrong belief: High ROAS means marketing success."
Belief,"Better belief: Marketing efficiency must be evaluated inside the complete commercial model."
Offer,"CEO Marketing Decision Session priced at 45,000 EGP for a single session."
Offer,"CEO Marketing Decision Session priced at 30,000 EGP for a single session."
Voice,"Kamal speaks Egyptian Arabic with a direct, calm authority and mixes in English business terminology naturally."
Evidence,"One client increased contribution profit by 22% after cutting a high-ROAS campaign that had poor lead quality."
Customer Message,"A marketing manager on Instagram wrote: 'We keep scaling ROAS but the CEO says the company still isn't making more money, I don't know what I'm doing wrong.'"
Note,"https://example.com/case-study-kamal-ghamry"
